country,brand,title,img
US,Bose,Bose’s Latest Bluetooth Headphones Don’t Disappoint,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/a674612c9534c92e82c477a04b1ff864.jpg
US,Chase,Cash in Travel Rewards for Your Dream Trip,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/63bee2719968b8371ffa64aac41710e2.jpg
US,Pfizer,Facts About Pneumonia,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/f54def667a58dbec69cb7b19e69c6635.png
US,Blue Apron,"My Husband and I Tried Blue Apron, Here’s What Happened",http://cdn.taboolasyndication.com/libtrc/static/thumbnails/a7e19c31eb993ed8a7c46ede48c75fb9.jpg
US,BMW,Watch Katie Couric and the Internet 21 Years Later,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/cec05b0be9938a5e93843fe2f6c72050.png
US,Fitbit,Fitbit Just Announced The Gadget Of Your Dreams,http://media4.popsugar-assets.com/files/2016/01/05/823/n/1922398/2b4a2d5e_edit_img_facebook_post_image_file_39666132_1452019170Pv49fC.fbshare.jpg
US,Stanford,When Not Taking Too Much Advice Is Good For Business,http://www.gsb.stanford.edu/sites/gsb/files/khaled-0515.jpg
US,Macy's,4 Plus Size Outfit Styles That Every Woman Needs,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/11d030900379847502e56bc266f6fd8f.png
US,Dasani,A Sparkling Summer Mocktail Without the Extra Calories,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/0ce763ba0b69fc5237ba6ce8638cf44b.jpg
US,eSalon,"If You Struggle with Coloring Grays, Try This…",http://cdn.taboola.com/libtrc/static/thumbnails/ef5dbc37dd211b230acb719421eeba2d.jpg
Great Britain,Secret Escapes,Luxury Travel Secrets – How To Get The Best Rates,http://nativeads365.com/sites/master.n365.server.udev.se/files/styles/col_1/public/img/article/430x287infinity-pool.jpg?itok=xZ0qeQ9Z
Great Britain,Secret Escapes,Luxury Travel For Dummies,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/83f2750389cf5ee27c9f2e58e44a75af.jpg
Great Britain,Intel,How technology has taken Thunderbirds to new heights,http://www.intel.com/etc/designs/intel/us/en/images/printlogo.png
Great Britain,ASOS,Learn to do more,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/cb080dbb70c395fd53a4566f5a1aadef.jpg
Great Britain,Cornerstone,Change The Way You Shave With Cornerstone,https://e42bcdc5abef6d913b6b-7d1ad931b66854ad34cb9bd867442c3a.ssl.cf3.rackcdn.com/uploads/previewimage3.jpg
Great Britain,FourFourTwo,Video: 6 Lessons In Leadership From Vincent Kompany,http://images.cdn.fourfourtwo.com/sites/fourfourtwo.com/files/performance/vincent-kompany-lead-your-team.jpg
Great Britain,Stuff,11 Things You Didn't Know About WhatsApp,https://images.cdn.stuff.tv/sites/stuff.tv/files/brands/WhatsApp/2017_update/00-whatsapp-tips-lead_stuff.png
Great Britain,Fashion Insider,How To Dress Well Without Trying [Quiz],http://cdn.taboolasyndication.com/libtrc/static/thumbnails/963db1e019449d611c452df5289abd66.jpg
Great Britain,Bloomberg,Patek Philippe Becomes Most Expensive Wristwatch Ever Sold at Geneva Charity Auction,http://assets.bwbx.io/images/ikXR7du9vBzc/v1/-1x-1.jpg
Spain,LifeCell,El mejor tratamiento para piel flácida y arrugada,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/f3c9e471a73c6a946062b41e5b33a0bd.jpg
Spain,Life Cell,La ciencia revela crema antiedad mejor que cirugía,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/eb9d2775411ec9873f04027af476c71e.jpg
Spain,Aventura Vacations,Regálale a Mamá el viaje que soñó,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/03b97d141e8256674b7c68fa42f690e4.jpg
Spain,Aventura Vacations,Las Mejores Playas para Conocer,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/a7556987b0060fd4dec2962bc7c163a5.jpg
Spain,Axe,¿Cuál es tu mood de hoy?,http://cdn.taboola.com/libtrc/static/thumbnails/a713788133bbde9a73ccabc4b9422c74.jpg
Spain,Axe,Entonces ¿qué vamos a hacer hoy?,http://cdn.taboola.com/libtrc/static/thumbnails/1804877743a778ab99afcc85c22f07ca.jpg
Spain,Colgate,¿Cuántos tipos de caries existen?,http://cdn.taboola.com/libtrc/static/thumbnails/32476f44cb34e4f30f9a506bc28adb37.jpg
Spain,Colgate,Picar entre horas puede afectar a la salud bucodental,http://p2.trrsf.com/image/fget/cf/600/600/images.terra.com/2017/09/18/alimentosthinkstock6.jpg
Spain,JetCost,Vuelos Baratos desde 9€,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/07451f906f5d8beb23ddd0929070e525.jpg
Spain,Secret Escapes,Tus vacaciones de ensueño por la mitad de precio,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/05fea125bad033662fc1c3cbf0b18998.jpg
Spain,OxFam,Firma y acaba con los paraísos fiscales,http://cdn.taboolasyndication.com/libtrc/static/thumbnails/d23025484434f4ee1a23fd017d4b47f5.jpg
Spain,Travelzoo,499€ -- Circuito de 5 días por Sicilia en 2016 hasta -40%,http://www.tzoo-img.com/images/tzoo.dp.media.31471.376309.Etna-Toarmina.jpg?v=ae60
Spain,Idealista,15 pisos en venta con vistas monumentales,http://cdn.taboola.com/libtrc/static/thumbnails/864bf4f143c95e8acb8cc8e666dc2751.jpg
